feature,importance
TotalCharges,0.1819896029873769
MonthlyCharges,0.1546054804429224
tenure,0.1543954875365784
PaymentMethod_Electronic check,0.03665050866540778
InternetService_Fiber optic,0.029370921471724813
gender_Male,0.0281336194810518
PaperlessBilling_Yes,0.027272605097683544
Contract_Two year,0.026258643487982406
Charge_Group,0.02528489258433531
Partner_Yes,0.02404973339100531
OnlineSecurity_Yes,0.02397337419539216
TechSupport_Yes,0.022093247698128596
OnlineBackup_Yes,0.02144227247373563
SeniorCitizen,0.020563364586422907
MultipleLines_Yes,0.019462682653436574
Dependents_Yes,0.01930762879785373
DeviceProtection_Yes,0.019237727089237645
Contract_One year,0.01857885094242508
tenure_group_49+,0.016171665269747008
StreamingTV_Yes,0.014902020634502178
